2011-12-16 16:37:11 Notice: Notice (8): session_start() [http://php.net/function.session-start]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in [/home/osmaralves/Work/sites/b3net/casadacaldeira/admin/core/cake/libs/cake_session.php, line 587]
2011-12-16 16:51:21 Notice: Notice (8): unserialize() [http://php.net/function.unserialize]: Error at offset 8150 of 8181 bytes in [/home/osmaralves/Work/sites/b3net/casadacaldeira/admin/core/cake/libs/cache/file.php, line 176]
2011-12-19 10:13:38 Notice: Notice (8): session_start() [http://php.net/function.session-start]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in [/home/osmaralves/Work/sites/b3net/casadacaldeira/admin/core/cake/libs/cake_session.php, line 587]
2011-12-19 13:58:00 Notice: Notice (8): session_start() [http://php.net/function.session-start]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in [/home/osmaralves/Work/sites/b3net/casadacaldeira/app_controller.php, line 35]
2012-01-23 17:17:04 Notice: Notice (8): Undefined property:  stdClass::$tipos_opcoes in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 95]
2012-01-23 17:17:04 Notice: Notice (8): Trying to get property of non-object in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 96]
2012-01-23 17:26:59 Notice: Notice (8): Undefined property:  stdClass::$tipos_opcoes in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 95]
2012-01-23 17:26:59 Notice: Notice (8): Trying to get property of non-object in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 96]
2012-01-23 17:27:51 Notice: Notice (8): Undefined property:  stdClass::$tipos_opcoes in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 95]
2012-01-23 17:27:51 Notice: Notice (8): Trying to get property of non-object in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 96]
2012-01-23 17:28:42 Notice: Notice (8): Undefined property:  stdClass::$tipos_opcoes in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 95]
2012-01-23 17:28:42 Notice: Notice (8): Trying to get property of non-object in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 96]
